"Ticker","Date","HistoryBars","HistoryQuality","Price","ChangePct","Signal","ActiveSignals","SniperLocation","LastActiveSignals","LastActiveDate","LastSniperLocation","Regime","Quadrant","RVol","AgeDays","Score","Strategy","PortfolioCapital","Buy1","Buy2","Buy3","Buy4","Weight1","Weight2","Weight3","Weight4","Lot1","Lot2","Lot3","Lot4","TotalLots","TotalDeployed","CashLeft","AvgEntry","TheoreticalAvgEntry","RiskBuy1Pct","RiskAvgPct","RewardRiskBuy1","RewardRiskAvg"
"BSBK","2026-05-13","553","FULL","56","-1.7543859649122806","AVOID","-","","BETA BREAKOUT + V-SHAPE","2025-12-04","","NORMAL DOWNTREND","LAGGING","0.15","160","680","Full Grid (1-2-3-4)","100000000","87","76","73","69","0.1","0.2","0.3","0.4","1149","2631","4109","5797","13686","99986900","13100","73.06","73.06","27.59","13.77","3","8.54"
"IPOL","2026-05-13","553","FULL","121","-1.6260162601626018","HOLD","-","","SMART SNIPER + V-SHAPE","2025-12-04","Demand Structure","SIDEWAYS","WEAKENING","0.22","160","680","Full Grid (1-2-3-4)","100000000","139","121","117","111","0.1","0.2","0.3","0.4","719","1652","2564","3603","8538","99975400","24600","117.09","117.1","27.34","13.74","3.03","8.51"
"ADHI","2026-05-13","553","FULL","196","-0.5076142131979695","AVOID","-","","V-SHAPE","2025-12-03","","SIDEWAYS","WEAKENING","0.19","161","678","Full Grid (1-2-3-4)","100000000","242","240","240","238","0.1","0.2","0.3","0.4","413","833","1250","1680","4176","99970600","29400","239.39","239.39","2.48","1.42","6","11.38"
"MANG","2026-05-13","546","FULL","52","1.9607843137254901","AVOID","-","","SMART GAMMA","2025-12-03","","NORMAL UPTREND","WEAKENING","0.15","161","678","Full Grid (1-2-3-4)","100000000","79","65","61","56","0.1","0.2","0.3","0.4","1265","3076","4918","7142","16401","99982500","17500","60.96","60.96","37.97","19.62","3","9.03"
"LUCY","2026-05-13","553","FULL","1570","5.369127516778524","AVOID","-","","G ACC","2025-12-01","","NORMAL UPTREND","WEAKENING","1.48","163","674","Full Grid (1-2-3-4)","100000000","194","145","133","117","0.1","0.2","0.3","0.4","515","1379","2255","3418","7567","99968600","31400","132.11","132.11","51.55","28.85","3","9.5"
"ASDM","2026-05-13","553","FULL","515","0","AVOID","-","","SMART GAMMA","2025-11-03","","NORMAL DOWNTREND","IMPROVING","0.71","191","668","Full Grid (1-2-3-4)","100000000","600","555","545","530","0.1","0.2","0.3","0.4","166","360","550","754","1830","99877000","123000","545.78","545.79","15.83","7.47","3","8.32"
"JKON","2026-05-13","553","FULL","75","0","HOLD","-","","V-SHAPE","2025-11-28","","SIDEWAYS","LAGGING","0.38","166","668","Full Grid (1-2-3-4)","100000000","87","84","83","82","0.1","0.2","0.3","0.4","1149","2380","3614","4878","12021","99984100","15900","83.17","83.17","8.05","3.82","3","7.82"
"CHIP","2026-05-13","553","FULL","1010","-0.49261083743842365","AVOID","-","","SMART GAMMA","2025-10-08","","NORMAL DOWNTREND","LEADING","0.95","217","666","Full Grid (1-2-3-4)","100000000","1595","1475","1445","1405","0.1","0.2","0.3","0.4","62","135","207","284","688","99615000","385000","1447.89","1448.02","15.67","7.11","2.46","7.41"
"MENN","2026-05-13","553","FULL","53","0","AVOID","-","","V-SHAPE","2025-10-08","","NORMAL UPTREND","LEADING","0","217","666","Full Grid (1-2-3-4)","100000000","55","50","49","47","0.1","0.2","0.3","0.4","1818","4000","6122","8510","20450","99993800","6200","48.9","48.9","20","10.01","3","7.99"
"AMAR","2026-05-13","553","FULL","197","1.0256410256410255","AVOID","-","","BETA BREAKOUT","2025-10-07","","SIDEWAYS","LEADING","0.52","218","664","Full Grid (1-2-3-4)","100000000","230","214","210","204","0.1","0.2","0.3","0.4","434","934","1428","1960","4756","99941600","58400","210.14","210.14","15.22","7.2","3.03","8.31"
"MTPS","2026-05-13","553","FULL","81","0","HOLD","-","","SMART GAMMA","2025-10-06","","SIDEWAYS","LEADING","0","219","662","Full Grid (1-2-3-4)","100000000","55","48","46","43","0.1","0.2","0.3","0.4","1818","4166","6521","9302","21807","99991000","9000","45.85","45.85","29.09","14.95","3","8.34"
"INDF","2026-05-13","553","FULL","6825","-2.1505376344086025","HOLD","-","","SMART SNIPER","2025-11-24","Structure + Discount","SIDEWAYS","LAGGING","0.87","170","660","Full Grid (1-2-3-4)","100000000","7450","7150","7075","6975","0.1","0.2","0.3","0.4","13","27","42","57","139","98462500","1537500","7083.63","7084.9","8.39","3.65","3","8.67"
"KPIG","2026-05-13","553","FULL","102","-0.9708737864077669","AVOID","-","","V-SHAPE","2025-11-24","","NORMAL DOWNTREND","LAGGING","0.44","170","660","Full Grid (1-2-3-4)","100000000","140","137","136","134","0.1","0.2","0.3","0.4","714","1459","2205","2985","7363","99971300","28700","135.78","135.78","5.71","2.78","3.38","8.27"
"SKLT","2026-05-13","553","FULL","206","-0.9615384615384616","AVOID","-","","BETA BREAKOUT","2025-11-20","","SIDEWAYS","LAGGING","0.75","174","652","Full Grid (1-2-3-4)","100000000","270","214","200","182","0.1","0.2","0.3","0.4","370","934","1500","2197","5001","99963000","37000","199.89","199.89","42.59","22.46","3","9.25"
"SGRO","2026-05-13","553","FULL","3140","-14.673913043478262","AVOID","-","","SMART GAMMA","2025-11-19","","NORMAL DOWNTREND","LAGGING","1.61","175","650","Full Grid (1-2-3-4)","100000000","7225","5900","5600","5150","0.1","0.2","0.3","0.4","13","33","53","77","176","98197500","1802500","5579.4","5587.2","37.58","19.17","3","9.16"
"BIMA","2026-05-13","553","FULL","82","0","HOLD","-","","BETA BREAKOUT","2025-09-29","","SIDEWAYS","LEADING","0","226","648","Full Grid (1-2-3-4)","100000000","87","64","58","50","0.1","0.2","0.3","0.4","1149","3125","5172","8000","17446","99993900","6100","57.32","57.32","55.17","31.96","3.02","9.54"
"BINA","2026-05-13","553","FULL","4000","1.0101010101010102","AVOID","-","","SMART GAMMA","2025-09-26","","NORMAL DOWNTREND","LEADING","0.8","229","642","Full Grid (1-2-3-4)","100000000","4500","4370","4330","4290","0.1","0.2","0.3","0.4","22","45","69","93","229","99339000","661000","4337.95","4338.15","6.22","2.72","3.21","9"
