"Ticker","Date","LatestAvailableDate","HistoryBars","HistoryQuality","Price","ChangePct","Signal","ActiveSignals","SignalGroup","ActiveSignal","SniperLocation","LastActiveSignals","LastActiveDate","LastSniperLocation","SignalAgeLabel","AgeDays","Trend","TrendShort","TrendMedium","TrendLong","Structure","Regime","RisenScore","RisenInsideRolling","RisenRecentUpBreak","RisenVolSurge","Quadrant","AlphaStatus","RVol","VolPower","VolRegime","XRayBuyPowerPct","XRaySellPowerPct","RSI","ADX","PlusDI","MinusDI","EMA21","EMA50","EMA200","Volume","VolumeSMA20","Score","LogicNotes","Strategy","PortfolioCapital","Buy1","Buy2","Buy3","Buy4","Weight1","Weight2","Weight3","Weight4","Lot1","Lot2","Lot3","Lot4","TotalLots","TotalDeployed","CashLeft","AvgEntry","TheoreticalAvgEntry","StopLoss","TP1","TP2","TP2Fib","RiskBuy1Pct","RiskAvgPct","UpsideBuy1Pct","UpsideAvgPct","RewardRiskBuy1","RewardRiskAvg"
"DUTI","2026-05-26","2026-05-26","560","FULL","4330","-0.2304147465437788","AVOID","-","passive","FALSE","","V-SHAPE","2026-04-21","","35d","35","DOWNTREND","BULLISH","BULLISH","BULLISH","DEMAND STRUCTURE","SIDEWAYS","64.27","TRUE","TRUE","FALSE","LEADING","LEADING (Passive)","0.41","0.41","DRY / QUIET","95.83","4.17","55.87","12.84","29.13","40.98","4196.93","4178.53","4113.48","900","2215","1030","Supertrend bearish | RSI 55.9 > 50 | Volume 0.41x | Lolos anti-crash ADX | RISEN SIDEWAYS","Full Grid (1-2-3-4)","100000000","4220","4070","4030","3980","0.1","0.2","0.3","0.4","23","49","74","100","246","99271000","729000","4035.41","4035.82","3880","4730","5250","5250","8.06","3.85","24.41","30.1","3.03","7.82"
"EMAS","2026-05-26","2026-05-26","160","IPO / SHORT","7600","2.356902356902357","AVOID","-","passive","FALSE","","BETA BREAKOUT","2026-04-21","","35d","35","DOWNTREND","BEARISH","BEARISH","BULLISH","DOWNTREND PREMIUM","NORMAL UPTREND","12.17","TRUE","TRUE","FALSE","LEADING","LEADING (Passive)","1.47","1.47","EXPANSION","83.33","16.67","45.66","32.26","15.16","29.06","7884.27","7979.49","6270.4","29187500","19892405","1030","Supertrend bearish | RSI 45.7 lemah | Volume valid 1.47x | Crash filter aktif | RISEN NORMAL UPTREND","Full Grid (1-2-3-4)","100000000","9350","8625","8450","8200","0.1","0.2","0.3","0.4","10","23","35","48","116","98122500","1877500","8458.84","8462.6","7775","11725","14075","14075","16.84","8.08","50.53","66.39","3","8.21"
"GOTO","2026-05-26","2026-05-26","560","FULL","50","0","AVOID","-","passive","FALSE","","SMART SNIPER","2026-04-21","Structure + Discount","35d","35","DOWNTREND","BEARISH","BEARISH","BEARISH","STRUCTURE + DISCOUNT","SIDEWAYS","65","TRUE","FALSE","FALSE","LEADING","LEADING (Passive)","0.08","0.08","DRY / QUIET","50","50","38.4","11.31","19.43","21.41","50.87","52.93","58.99","333371800","3985937760","1030","Supertrend bearish | RSI 38.4 lemah | Volume 0.08x | Lolos anti-crash ADX | RISEN SIDEWAYS","Full Grid (1-2-3-4)","100000000","56","53","52","51","0.1","0.2","0.3","0.4","1785","3773","5769","7843","19170","99991000","9000","52.16","52.16","50","65","74","74","10.71","4.14","32.14","41.87","3","10.11"
"KMDS","2026-05-26","2026-05-26","560","FULL","560","0","AVOID","-","passive","FALSE","","V-SHAPE","2026-04-21","","35d","35","DOWNTREND","BEARISH","BEARISH","BEARISH","STRUCTURE + DISCOUNT","NORMAL DOWNTREND","60","TRUE","FALSE","FALSE","LEADING","LEADING (Passive)","0.3","0.3","DRY / QUIET","66.67","33.33","47.36","32.66","12.61","17.81","562.39","581.56","616.05","63800","215775","1030","Supertrend bearish | RSI 47.4 lemah | Volume 0.3x | Crash filter aktif | RISEN NORMAL DOWNTREND","Full Grid (1-2-3-4)","100000000","595","570","560","550","0.1","0.2","0.3","0.4","168","350","535","727","1780","99891000","109000","561.19","561.19","535","685","775","775","10.08","4.67","30.25","38.1","3","8.17"
"TFCO","2026-05-26","2026-05-26","560","FULL","650","8.333333333333332","HOLD","-","passive","FALSE","","EARLY SWEEP","2026-04-21","","35d","35","UPTREND","BEARISH","BEARISH","BEARISH","UPTREND DISCOUNT","SIDEWAYS","45.81","TRUE","FALSE","FALSE","LEADING","LEADING (Passive)","0.09","0.09","DRY / QUIET","50","50","45.25","30.82","35.81","49.19","662.97","714.51","667.45","100","1090","1030","Supertrend bullish | RSI 45.3 lemah | Volume 0.09x | Crash filter aktif | RISEN SIDEWAYS","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EPAC","2026-05-26","2026-05-26","560","FULL","76","2.7027027027027026","HOLD","-","passive","FALSE","","G ACC","2026-04-20","","36d","36","UPTREND","BULLISH","BULLISH","BULLISH","UPTREND PREMIUM","NORMAL UPTREND","35.86","TRUE","TRUE","FALSE","LEADING","LEADING (Passive)","0.73","0.73","DRY / QUIET","0","100","56.91","16.05","40.84","33.96","72.79","64.94","43.4","11030300","15169635","1028","Supertrend bullish | RSI 56.9 > 50 | Volume 0.73x | Lolos anti-crash ADX | RISEN NORMAL UPTREND","Full Grid (1-2-3-4)","100000000","70","52","47","41","0.1","0.2","0.3","0.4","1428","3846","6382","9756","21412","99990200","9800","46.7","46.7","32","127","184","184","54.29","31.47","162.86","294.02","3","9.34"
"KING","2026-05-26","2026-05-26","560","FULL","565","0","HOLD","-","passive","FALSE","","G ACC","2026-04-20","","36d","36","UPTREND","BULLISH","BULLISH","BULLISH","UPTREND PREMIUM","NORMAL UPTREND","25","TRUE","TRUE","FALSE","LEADING","LEADING (Passive)","0","0","NO VOLUME","50","50","87.99","53.36","48.05","8.25","468.71","387.78","271.7","0","4663505","1028","Supertrend bullish | RSI 88.0 > 50 | Volume 0x | Lolos anti-crash ADX | RISEN NORMAL UPTREND","Full Grid (1-2-3-4)","100000000","360","288","270","246","0.1","0.2","0.3","0.4","277","694","1111","1626","3708","99955800","44200","269.57","269.59","210","585","810","810","41.67","22.1","125","200.48","3","9.07"
"PANS","2026-05-26","2026-05-26","560","FULL","1730","0.2898550724637681","AVOID","-","passive","FALSE","","BETA BREAKOUT","2026-04-20","","36d","36","DOWNTREND","NEUTRAL","BULLISH","BULLISH","DEMAND STRUCTURE","SIDEWAYS","69.5","TRUE","FALSE","FALSE","LEADING","LEADING (Passive)","1.05","1.05","NORMAL","40","60","50.81","14.44","18.68","18.37","1729.5","1709.21","1597.92","141200","135110","1028","Supertrend bearish | RSI 50.8 > 50 | Volume 1.05x | Lolos anti-crash ADX | RISEN SIDEWAYS","Full Grid (1-2-3-4)","100000000","1755","1605","1565","1515","0.1","0.2","0.3","0.4","56","124","191","264","635","99617500","382500","1568.78","1569.09","1445","2220","2690","2690","17.66","7.89","53.28","71.47","3.02","9.06"
"PDPP","2026-05-26","2026-05-26","560","FULL","288","4.3478260869565215","AVOID","-","passive","FALSE","","SMART SNIPER","2026-04-20","Structure + Discount","36d","36","DOWNTREND","BEARISH","BEARISH","BEARISH","STRUCTURE + DISCOUNT","SIDEWAYS","39.31","TRUE","FALSE","FALSE","LEADING","LEADING (Passive)","0.99","0.99","NORMAL","70.59","29.41","42.77","19.96","16.48","19.05","306.5","316.09","373.01","467000","471140","1028","Supertrend bearish | RSI 42.8 lemah | Volume 0.99x | Lolos anti-crash ADX | RISEN SIDEWAYS","Full Grid (1-2-3-4)","100000000","350","322","314","304","0.1","0.2","0.3","0.4","285","621","955","1315","3176","99934200","65800","314.65","314.66","288","444","535","535","17.71","8.47","52.86","70.03","2.98","8.27"
"PZZA","2026-05-26","2026-05-26","560","FULL","191","0.5263157894736842","AVOID","-","passive","FALSE","","SMART SNIPER","2026-04-20","Structure + Discount","36d","36","DOWNTREND","BEARISH","BEARISH","BEARISH","STRUCTURE + DISCOUNT","SIDEWAYS","49.91","TRUE","FALSE","FALSE","LEADING","LEADING (Passive)","0.64","0.64","DRY / QUIET","66.67","33.33","37.84","26.44","11.49","21.2","196.55","201.78","207.77","1069900","1678620","1028","Supertrend bearish | RSI 37.8 lemah | Volume 0.64x | Lolos anti-crash ADX | RISEN SIDEWAYS","Full Grid (1-2-3-4)","100000000","226","204","199","191","0.1","0.2","0.3","0.4","442","980","1507","2094","5023","99965900","34100","199.02","199.02","180","296","364","364","20.35","9.56","61.06","82.9","3","8.68"
"HOPE","2026-05-26","2026-05-26","560","FULL","128","-4.477611940298507","AVOID","-","passive","FALSE","","EARLY SWEEP","2026-05-13","","13d","13","DOWNTREND","BEARISH","BEARISH","BEARISH","STRUCTURE + DISCOUNT","NORMAL DOWNTREND","85.99","TRUE","FALSE","FALSE","IMPROVING","IMPROVING (Passive)","0.08","0.08","DRY / QUIET","12.5","87.5","33.29","15.26","18.72","28.64","161.07","194.14","180.39","4564800","57149110","1024","Supertrend bearish | RSI 33.3 lemah | Volume 0.08x | Lolos anti-crash ADX | RISEN NORMAL DOWNTREND","Full Grid (1-2-3-4)","100000000","314","248","232","208","0.1","0.2","0.3","0.4","318","806","1293","1923","4340","99970000","30000","230.35","230.36","175","525","730","730","44.27","24.03","132.48","216.92","2.99","9.03"
"DKFT","2026-05-26","2026-05-26","560","FULL","710","-2.73972602739726","AVOID","-","passive","FALSE","","SMART GAMMA","2026-04-17","","39d","39","DOWNTREND","BEARISH","BEARISH","BULLISH","STRUCTURE + DISCOUNT","SIDEWAYS","27.41","TRUE","FALSE","FALSE","LEADING","LEADING (Passive)","0.23","0.23","DRY / QUIET","33.33","66.67","42.19","30.1","13.91","25.51","745.23","760.8","706.56","3351700","14734660","1022","Supertrend bearish | RSI 42.2 lemah | Volume 0.23x | Crash filter aktif | RISEN SIDEWAYS","Full Grid (1-2-3-4)","100000000","820","740","720","690","0.1","0.2","0.3","0.4","121","270","416","579","1386","99805000","195000","720.09","720.15","650","1075","1330","1330","20.73","9.73","62.2","84.7","3","8.7"
"IPAC","2026-05-26","2026-05-26","560","FULL","142","0","AVOID","-","passive","FALSE","","SMART SNIPER","2026-04-17","Discount Only","39d","39","DOWNTREND","BEARISH","BEARISH","BEARISH","STRUCTURE + DISCOUNT","NORMAL DOWNTREND","76.21","TRUE","FALSE","FALSE","LEADING","LEADING (Passive)","0.09","0.09","DRY / QUIET","85.71","14.29","40.69","25.79","18.21","13.84","148.65","156.14","170.36","18900","216115","1022","Supertrend bearish | RSI 40.7 lemah | Volume 0.09x | Lolos anti-crash ADX | RISEN NORMAL DOWNTREND","Full Grid (1-2-3-4)","100000000","180","159","153","146","0.1","0.2","0.3","0.4","555","1257","1960","2739","6511","99953700","46300","153.52","153.52","134","250","318","318","25.56","12.71","76.67","107.15","3","8.43"
"LPPF","2026-05-26","2026-05-26","560","FULL","1590","-0.625","AVOID","-","passive","FALSE","","SMART GAMMA","2026-04-17","","39d","39","DOWNTREND","BEARISH","BEARISH","BEARISH","STRUCTURE + DISCOUNT","NORMAL DOWNTREND","71.7","TRUE","FALSE","FALSE","LEADING","LEADING (Passive)","0.46","0.46","DRY / QUIET","0","100","30.79","34.74","13.68","31.77","1659.86","1735.29","1744.97","1517900","3331040","1022","Supertrend bearish | RSI 30.8 lemah | Volume 0.46x | Crash filter aktif | RISEN NORMAL DOWNTREND","Full Grid (1-2-3-4)","100000000","1950","1875","1855","1830","0.1","0.2","0.3","0.4","51","106","161","218","536","99579500","420500","1857.83","1857.86","1790","2190","2430","2430","8.21","3.65","24.62","30.8","3","8.44"
"MTLA","2026-05-26","2026-05-26","560","FULL","510","0","AVOID","-","passive","FALSE","","V-SHAPE","2026-04-17","","39d","39","DOWNTREND","BEARISH","BEARISH","BEARISH","STRUCTURE + DISCOUNT","SIDEWAYS","100","TRUE","FALSE","FALSE","LEADING","LEADING (Passive)","0.46","0.46","DRY / QUIET","100","0","40.64","24.02","9.05","22.6","520.31","537.46","514.54","17900","38950","1022","Supertrend bearish | RSI 40.6 lemah | Volume 0.46x | Lolos anti-crash ADX | RISEN SIDEWAYS","Full Grid (1-2-3-4)","100000000","590","565","555","545","0.1","0.2","0.3","0.4","169","353","540","733","1795","99834000","166000","556.18","556.19","525","690","785","785","11.02","5.61","33.05","41.14","3","7.34"
"CFIN","2026-05-26","2026-05-26","560","FULL","342","0.5882352941176471","AVOID","-","passive","FALSE","","BETA BREAKOUT","2026-04-16","","40d","40","DOWNTREND","BULLISH","BULLISH","BULLISH","DEMAND STRUCTURE","NORMAL UPTREND","60","TRUE","TRUE","FALSE","LEADING","LEADING (Passive)","0.59","0.59","DRY / QUIET","66.67","33.33","51.83","20.43","16","13.77","340.81","337.71","331.28","1170000","1992270","1020","Supertrend bearish | RSI 51.8 > 50 | Volume 0.59x | Lolos anti-crash ADX | RISEN NORMAL UPTREND","Full Grid (1-2-3-4)","100000000","344","322","316","310","0.1","0.2","0.3","0.4","290","621","949","1290","3150","99950600","49400","317.3","317.31","298","414","482","482","13.37","6.08","40.12","51.91","3","8.53"
"HADE","2026-05-26","2026-05-26","560","FULL","16","6.666666666666667","HOLD","-","passive","FALSE","","EARLY SWEEP","2026-05-11","","15d","15","UPTREND","BEARISH","BEARISH","BEARISH","UPTREND DISCOUNT","NORMAL DOWNTREND","48.12","TRUE","FALSE","FALSE","IMPROVING","IMPROVING (Passive)","0.35","0.35","DRY / QUIET","50","50","37.67","33.14","27.6","48.41","17.25","19.84","21.52","1446300","4133485","1020","Supertrend bullish | RSI 37.7 lemah | Volume 0.35x | Crash filter aktif | RISEN NORMAL DOWNTREND","Full Grid (1-2-3-4)","100000000","26","25","24","24","0.1","0.2","0.3","0.4","3846","8000","12500","16666","41012","99998000","2000","24.38","24.38","23","45","48","48","11.54","5.67","84.62","96.86","7.33","17.08"
"IMAS","2026-05-26","2026-05-26","560","FULL","940","-0.5291005291005291","AVOID","-","passive","FALSE","","BETA BREAKOUT","2026-04-16","","40d","40","DOWNTREND","BEARISH","BEARISH","BEARISH","STRUCTURE + DISCOUNT","NORMAL DOWNTREND","49.08","TRUE","FALSE","FALSE","LEADING","LEADING (Passive)","0.17","0.17","DRY / QUIET","22.22","77.78","39.35","21.93","18.75","21.11","1000.48","1036.23","1075.96","45200","271220","1020","Supertrend bearish | RSI 39.4 lemah | Volume 0.17x | Lolos anti-crash ADX | RISEN NORMAL DOWNTREND","Full Grid (1-2-3-4)","100000000","1240","1085","1045","990","0.1","0.2","0.3","0.4","80","184","287","404","955","99871500","128500","1045.77","1045.92","910","1735","2230","2230","26.61","12.98","79.84","113.24","3","8.72"
"OLIV","2026-05-26","2026-05-26","560","FULL","54","0","AVOID","-","passive","FALSE","","SMART SNIPER","2026-04-16","Structure + Discount","40d","40","DOWNTREND","BEARISH","BEARISH","BEARISH","STRUCTURE + DISCOUNT","SIDEWAYS","65.89","TRUE","FALSE","FALSE","LEADING","LEADING (Passive)","0.64","0.64","DRY / QUIET","100","0","44.96","15.91","15.9","16.68","55.53","57.22","61.41","3042200","4742900","1020","Supertrend bearish | RSI 45.0 lemah | Volume 0.64x | Lolos anti-crash ADX | RISEN SIDEWAYS","Full Grid (1-2-3-4)","100000000","61","54","52","49","0.1","0.2","0.3","0.4","1639","3703","5769","8163","19274","99991600","8400","51.88","51.88","45","85","109","109","26.23","13.26","78.69","110.1","3","8.3"
"PBSA","2026-05-26","2026-05-26","560","FULL","805","-5.294117647058823","AVOID","-","passive","FALSE","","V-SHAPE","2026-05-11","","15d","15","DOWNTREND","BEARISH","BEARISH","BEARISH","STRUCTURE + DISCOUNT","NORMAL DOWNTREND","34.23","TRUE","FALSE","FALSE","IMPROVING","IMPROVING (Passive)","0.36","0.36","DRY / QUIET","18.75","81.25","38.27","35.3","12.87","24.54","925.16","1081.97","1105.31","1301900","3657830","1020","Supertrend bearish | RSI 38.3 lemah | Volume 0.36x | Crash filter aktif | RISEN NORMAL DOWNTREND","Full Grid (1-2-3-4)","100000000","945","880","865","845","0.1","0.2","0.3","0.4","105","227","346","473","1151","99796000","204000","867.04","867.09","800","1165","1380","1380","15.34","7.73","46.03","59.16","3","7.65"
"SRAJ","2026-05-26","2026-05-26","560","FULL","13925","0","HOLD","-","passive","FALSE","","V-SHAPE","2026-04-16","","40d","40","UPTREND","BEARISH","BEARISH","BULLISH","UPTREND","NORMAL DOWNTREND","25","TRUE","FALSE","FALSE","LEADING","LEADING (Passive)","0.03","0.03","DRY / QUIET","50","50","44.91","30.21","26.68","43.6","14133.43","14617.53","12723.47","500","15260","1020","Supertrend bullish | RSI 44.9 lemah | Volume 0.03x | Crash filter aktif | RISEN NORMAL DOWNTREND","Full Grid (1-2-3-4)","100000000","15100","14100","13875","13525","0.1","0.2","0.3","0.4","6","14","21","29","70","97160000","2840000","13880","13888.23","13000","18250","21400","21400","13.91","6.34","41.72","54.18","3","8.55"
"TMAS","2026-05-26","2026-05-26","560","FULL","118","0","AVOID","-","passive","FALSE","","SMART SNIPER","2026-04-16","Structure + Discount","40d","40","DOWNTREND","BEARISH","BEARISH","BEARISH","STRUCTURE + DISCOUNT","NORMAL DOWNTREND","89.62","TRUE","FALSE","FALSE","LEADING","LEADING (Passive)","0.32","0.32","DRY / QUIET","33.33","66.67","35.14","19.89","13.95","22.02","122.35","126.46","133.2","1578300","4995565","1020","Supertrend bearish | RSI 35.1 lemah | Volume 0.32x | Lolos anti-crash ADX | RISEN NORMAL DOWNTREND","Full Grid (1-2-3-4)","100000000","138","130","127","125","0.1","0.2","0.3","0.4","724","1538","2362","3200","7824","99982600","17400","127.79","127.79","120","165","192","192","13.04","6.1","39.13","50.25","3","8.24"
"ANJT","2026-05-26","2026-05-26","560","FULL","1690","4.320987654320987","AVOID","-","passive","FALSE","","SMART SNIPER","2026-04-15","Structure + Discount","41d","41","DOWNTREND","BEARISH","BEARISH","BEARISH","STRUCTURE + DISCOUNT","NORMAL DOWNTREND","46.04","TRUE","FALSE","FALSE","LEADING","LEADING (Passive)","0.25","0.25","DRY / QUIET","94.12","5.88","47.46","30.9","16.77","24.08","1706.96","1701.9","1703.59","43000","175200","1018","Supertrend bearish | RSI 47.5 lemah | Volume 0.25x | Crash filter aktif | RISEN NORMAL DOWNTREND","Full Grid (1-2-3-4)","100000000","1740","1580","1540","1485","0.1","0.2","0.3","0.4","57","126","194","269","646","99648500","351500","1542.55","1542.69","1400","2250","2760","2760","19.54","9.24","58.62","78.92","3","8.54"
"BHIT","2026-05-26","2026-05-26","560","FULL","30","0","HOLD","-","passive","FALSE","","SMART SNIPER","2026-04-15","Structure + Discount","41d","41","UPTREND","BEARISH","BEARISH","BEARISH","STRUCTURE + DISCOUNT","NORMAL DOWNTREND","27.91","TRUE","FALSE","FALSE","LEADING","LEADING (Passive)","0.33","0.33","DRY / QUIET","0","100","41.7","29.2","29.07","47.09","31.24","33.25","34.85","3022300","9236330","1018","Supertrend bullish | RSI 41.7 lemah | Volume 0.33x | Lolos anti-crash ADX | RISEN NORMAL DOWNTREND","Full Grid (1-2-3-4)","100000000","37","35","34","33","0.1","0.2","0.3","0.4","2702","5714","8823","12121","29360","99993900","6100","34.06","34.06","32","45","52","52","13.51","6.04","40.54","52.68","3","8.72"
"EKAD","2026-05-26","2026-05-26","560","FULL","171","1.183431952662722","AVOID","-","passive","FALSE","","V-SHAPE","2026-04-15","","41d","41","DOWNTREND","BEARISH","BEARISH","BEARISH","STRUCTURE + DISCOUNT","NORMAL DOWNTREND","44.37","TRUE","FALSE","FALSE","LEADING","LEADING (Passive)","0.26","0.26","DRY / QUIET","50","50","39.71","32.1","10.16","25.81","174.64","178.39","185.41","65300","248060","1018","Supertrend bearish | RSI 39.7 lemah | Volume 0.26x | Crash filter aktif | RISEN NORMAL DOWNTREND","Full Grid (1-2-3-4)","100000000","180","179","178","178","0.1","0.2","0.3","0.4","555","1117","1685","2247","5604","99973900","26100","178.4","178.4","176","187","191","191","2.22","1.34","6.11","7.06","2.75","5.26"
"ELIT","2026-05-26","2026-05-26","560","FULL","185","-1.5957446808510638","AVOID","-","passive","FALSE","","SMART SNIPER","2026-04-15","Discount Only","41d","41","DOWNTREND","BEARISH","BEARISH","BEARISH","STRUCTURE + DISCOUNT","NORMAL DOWNTREND","65","TRUE","FALSE","FALSE","LEADING","LEADING (Passive)","0.51","0.51","DRY / QUIET","14.29","85.71","36.11","15.08","15.09","23.52","196.36","207.15","205.65","2863000","5572660","1018","Supertrend bearish | RSI 36.1 lemah | Volume 0.51x | Lolos anti-crash ADX | RISEN NORMAL DOWNTREND","Full Grid (1-2-3-4)","100000000","228","204","198","190","0.1","0.2","0.3","0.4","438","980","1515","2105","5038","99970400","29600","198.43","198.44","177","304","382","382","22.37","10.8","67.54","92.51","3.02","8.56"
"ELPI","2026-05-26","2026-05-26","560","FULL","1700","12.956810631229235","AVOID","-","passive","FALSE","","V-SHAPE","2026-04-15","","41d","41","DOWNTREND","BULLISH","BULLISH","BULLISH","DOWNTREND PREMIUM","NORMAL UPTREND","41.79","TRUE","TRUE","FALSE","LEADING","LEADING (Passive)","0.84","0.84","NORMAL","89.8","10.2","50.68","15.69","29.67","28.8","1657.83","1666.84","1160.23","2451300","2935250","1018","Supertrend bearish | RSI 50.7 > 50 | Volume 0.84x | Lolos anti-crash ADX | RISEN NORMAL UPTREND","Full Grid (1-2-3-4)","100000000","1965","1515","1410","1260","0.1","0.2","0.3","0.4","50","132","212","317","711","99657000","343000","1401.65","1402.27","1025","3380","4790","4790","47.84","26.87","143.77","241.74","3.01","9"
"JMAS","2026-05-26","2026-05-26","560","FULL","266","-7.638888888888889","HOLD","-","passive","FALSE","","SMART GAMMA","2026-04-15","","41d","41","UPTREND","BULLISH","BULLISH","BULLISH","DEMAND STRUCTURE","NORMAL UPTREND","23.32","TRUE","TRUE","FALSE","LEADING","LEADING (Passive)","0.51","0.51","DRY / QUIET","21.43","78.57","54.95","23.13","28.83","18.99","256.46","243.57","203.85","1774500","3457450","1018","Supertrend bullish | RSI 55.0 > 50 | Volume 0.51x | Lolos anti-crash ADX | RISEN NORMAL UPTREND","Full Grid (1-2-3-4)","100000000","270","226","214","200","0.1","0.2","0.3","0.4","370","884","1401","2000","4655","99949800","50200","214.71","214.72","178","408","545","545","34.07","17.1","101.85","153.82","2.99","9"
"MAYA","2026-05-26","2026-05-26","560","FULL","189","-0.5263157894736842","AVOID","-","passive","FALSE","","SMART SNIPER","2026-04-15","Structure + Discount","41d","41","DOWNTREND","BEARISH","BEARISH","BEARISH","STRUCTURE + DISCOUNT","SIDEWAYS","61.55","TRUE","FALSE","FALSE","LEADING","LEADING (Passive)","0.6","0.6","DRY / QUIET","40","60","40.48","16.93","15.72","21.37","193.27","199","216.16","829800","1375810","1018","Supertrend bearish | RSI 40.5 lemah | Volume 0.6x | Lolos anti-crash ADX | RISEN SIDEWAYS","Full Grid (1-2-3-4)","100000000","220","200","195","189","0.1","0.2","0.3","0.4","454","1000","1538","2116","5108","99971400","28600","195.72","195.72","178","284","346","346","19.09","9.05","57.27","76.79","3","8.48"
"SAFE","2026-05-26","2026-05-26","560","FULL","326","-0.6097560975609756","AVOID","-","passive","FALSE","","V-SHAPE","2026-04-15","","41d","41","DOWNTREND","BEARISH","BEARISH","BULLISH","DEMAND STRUCTURE","NORMAL DOWNTREND","45.34","TRUE","FALSE","FALSE","LEADING","LEADING (Passive)","0.77","0.77","DRY / QUIET","75","25","36.5","18.45","14.36","20.46","343.22","357.63","321.76","411100","534320","1018","Supertrend bearish | RSI 36.5 lemah | Volume 0.77x | Lolos anti-crash ADX | RISEN NORMAL DOWNTREND","Full Grid (1-2-3-4)","100000000","382","368","364","358","0.1","0.2","0.3","0.4","261","543","824","1117","2745","99934800","65200","364.06","364.07","348","434","484","484","8.9","4.41","26.7","32.94","3","7.47"
"TARA","2026-05-26","2026-05-26","560","FULL","32","0","HOLD","-","passive","FALSE","","V-SHAPE","2026-04-15","","41d","41","UPTREND","BULLISH","BULLISH","BULLISH","UPTREND DISCOUNT","NORMAL UPTREND","65.37","TRUE","TRUE","FALSE","LEADING","LEADING (Passive)","1.41","1.41","EXPANSION","0","100","53.33","9.83","39.05","32.25","30.99","31.8","29.23","1675400","1189785","1018","Supertrend bullish | RSI 53.3 > 50 | Volume valid 1.41x | Lolos anti-crash ADX | RISEN NORMAL UPTREND","Full Grid (1-2-3-4)","100000000","30","29","28","28","0.1","0.2","0.3","0.4","3333","6896","10714","14285","35228","99994600","5400","28.38","28.38","27","40","50","50","10","4.88","66.67","76.15","6.67","15.61"
"TAXI","2026-05-26","2026-05-26","560","FULL","16","6.666666666666667","HOLD","-","passive","FALSE","","SMART SNIPER","2026-04-15","Discount Only","41d","41","UPTREND","BEARISH","BEARISH","BEARISH","STRUCTURE + DISCOUNT","SIDEWAYS","34.39","TRUE","FALSE","FALSE","LEADING","LEADING (Passive)","1.16","1.16","NORMAL","100","0","48.14","15.26","31.1","33.47","16.16","16.87","16.76","37315400","32184695","1018","Supertrend bullish | RSI 48.1 lemah | Volume 1.16x | Lolos anti-crash ADX | RISEN SIDEWAYS","Full Grid (1-2-3-4)","100000000","17","15","14","13","0.1","0.2","0.3","0.4","5882","13333","21428","30769","71412","99997800","2200","14","14","12","25","32","32","29.41","14.3","88.24","128.52","3","8.99"
"TPMA","2026-05-26","2026-05-26","560","FULL","496","-1.782178217821782","AVOID","-","passive","FALSE","","V-SHAPE","2026-04-15","","41d","41","DOWNTREND","BEARISH","BEARISH","BEARISH","STRUCTURE + DISCOUNT","NORMAL DOWNTREND","14.44","TRUE","FALSE","FALSE","LEADING","LEADING (Passive)","1.17","1.17","NORMAL","12.5","87.5","24.76","49.32","6.69","30.03","534.53","560.24","584.19","11779900","10042405","1018","Supertrend bearish | RSI 24.8 lemah | Volume 1.17x | Crash filter aktif | RISEN NORMAL DOWNTREND","Full Grid (1-2-3-4)","100000000","595","590","590","585","0.1","0.2","0.3","0.4","168","338","508","683","1697","99865500","134500","588.48","588.48","580","620","680","680","2.52","1.44","14.29","15.55","5.67","10.79"
"BBKP","2026-05-26","2026-05-26","560","FULL","56","-1.7543859649122806","AVOID","-","passive","FALSE","","SMART SNIPER","2026-04-14","Discount Only","42d","42","DOWNTREND","BEARISH","BEARISH","BEARISH","STRUCTURE + DISCOUNT","NORMAL DOWNTREND","40.79","TRUE","FALSE","FALSE","LEADING","LEADING (Passive)","0.57","0.57","DRY / QUIET","0","100","35.96","27.87","9.04","20.29","59.18","62.59","67.4","47769100","83766335","1016","Supertrend bearish | RSI 36.0 lemah | Volume 0.57x | Lolos anti-crash ADX | RISEN NORMAL DOWNTREND","Full Grid (1-2-3-4)","100000000","66","62","61","60","0.1","0.2","0.3","0.4","1515","3225","4918","6666","16324","99989800","10200","61.25","61.25","57","80","93","93","13.64","6.94","40.91","51.83","3","7.46"
"BREN","2026-05-26","2026-05-26","560","FULL","2640","10.92436974789916","AVOID","-","passive","FALSE","","BETA BREAKOUT","2025-11-05","","202d","202","DOWNTREND","BEARISH","BEARISH","BEARISH","DOWNTREND DISCOUNT","CRASH / SELL-OFF","16.47","TRUE","FALSE","TRUE","LAGGING","LAGGARD (Passive)","3.97","3.97","VOLUME SURGE","66.67","33.33","25.4","49.75","12.34","37.33","3722.87","4984.81","7118.6","211822800","53306240","1016","Supertrend bearish | RSI 25.4 lemah | Volume valid 3.97x | Crash filter aktif | RISEN CRASH / SELL-OFF","Full Grid (1-2-3-4)","100000000","9750","8775","8550","8225","0.1","0.2","0.3","0.4","10","22","35","48","115","98460000","1540000","8561.74","8563.96","7700","12825","15900","15900","21.03","10.07","63.08","85.71","3","8.52"
