"Ticker","Date","LatestAvailableDate","HistoryBars","HistoryQuality","Price","ChangePct","Signal","ActiveSignals","SignalGroup","ActiveSignal","SniperLocation","LastActiveSignals","LastActiveDate","LastSniperLocation","SignalAgeLabel","AgeDays","Trend","TrendShort","TrendMedium","TrendLong","Structure","Regime","RisenScore","RisenInsideRolling","RisenRecentUpBreak","RisenVolSurge","Quadrant","AlphaStatus","RVol","VolPower","VolRegime","XRayBuyPowerPct","XRaySellPowerPct","RSI","ADX","PlusDI","MinusDI","EMA21","EMA50","EMA200","Volume","VolumeSMA20","Score","LogicNotes","Strategy","PortfolioCapital","Buy1","Buy2","Buy3","Buy4","Weight1","Weight2","Weight3","Weight4","Lot1","Lot2","Lot3","Lot4","TotalLots","TotalDeployed","CashLeft","AvgEntry","TheoreticalAvgEntry","StopLoss","TP1","TP2","TP2Fib","RiskBuy1Pct","RiskAvgPct","UpsideBuy1Pct","UpsideAvgPct","RewardRiskBuy1","RewardRiskAvg"
"SDPC","2026-05-26","2026-05-26","560","FULL","190","5.555555555555555","V-SHAPE","V-SHAPE","reversal","TRUE","","V-SHAPE","2026-05-26","","NEW","0","DOWNTREND","BULLISH","BULLISH","BULLISH","DEMAND STRUCTURE","SIDEWAYS","54.1","TRUE","FALSE","FALSE","LEADING","LEADING (V-Shape)","1.34","1.34","EXPANSION","66.67","33.33","51.7","20.48","14.25","19.71","187.83","188.73","169.5","418400","311640","4550","Supertrend bearish | RSI 51.7 > 50 | Volume valid 1.34x | Lolos anti-crash ADX | RISEN SIDEWAYS","Full Grid (1-2-3-4)","100000000","190","180","178","174","0.1","0.2","0.3","0.4","526","1111","1685","2298","5620","99970200","29800","177.88","177.88","168","224","256","256","11.58","5.56","34.74","43.91","3","7.9"
"BLTZ","2026-05-26","2026-05-26","560","FULL","2910","9.811320754716983","BETA BREAKOUT","BETA BREAKOUT","breakout","TRUE","","BETA BREAKOUT","2026-05-26","","NEW","0","UPTREND","BULLISH","BULLISH","BULLISH","DEMAND STRUCTURE","NORMAL UPTREND","0","FALSE","TRUE","TRUE","LEADING","LEADING (Beta)","2.93","2.93","VOLUME SURGE","100","0","66.97","20.24","21.88","21.96","2671.64","2679.46","2564.08","600","205","4520","Supertrend bullish | RSI 67.0 > 50 | Volume valid 2.93x | Lolos anti-crash ADX | RISEN NORMAL UPTREND","Full Grid (1-2-3-4)","100000000","2910","2570","2480","2370","0.1","0.2","0.3","0.4","34","77","120","168","399","99259000","741000","2487.69","2488","2200","3980","5050","5050","24.4","11.56","73.54","103","3.01","8.91"
"SATU","2026-05-26","2026-05-26","560","FULL","264","3.125","BETA BREAKOUT","BETA BREAKOUT","breakout","TRUE","","BETA BREAKOUT","2026-05-26","","NEW","0","UPTREND","BULLISH","BULLISH","BULLISH","DEMAND STRUCTURE","SIDEWAYS","11.1","TRUE","FALSE","FALSE","LEADING","LEADING (Beta)","1.45","1.45","EXPANSION","100","0","55.76","23.27","19.55","24.98","260.32","260.88","250.86","1650700","1134755","4500","Supertrend bullish | RSI 55.8 > 50 | Volume valid 1.45x | Lolos anti-crash ADX | RISEN SIDEWAYS","Full Grid (1-2-3-4)","100000000","264","256","252","250","0.1","0.2","0.3","0.4","378","781","1190","1600","3949","99960800","39200","253.13","253.13","246","292","322","322","6.82","2.82","21.97","27.21","3.22","9.66"
"BRPT","2026-05-26","2026-05-26","560","FULL","1555","5.0675675675675675","V-SHAPE","V-SHAPE","reversal","TRUE","","V-SHAPE","2026-05-26","","NEW","0","DOWNTREND","BEARISH","BEARISH","BEARISH","STRUCTURE + DISCOUNT","SIDEWAYS","14.8","TRUE","FALSE","FALSE","LAGGING","LAGGARD (V-Shape)","1.84","1.84","EXPANSION","28.36","71.64","39.61","18.23","19.48","24.62","1863.09","1950.15","2238.32","722089900","393474720","4450","Supertrend bearish | RSI 39.6 lemah | Volume valid 1.84x | Lolos anti-crash ADX | RISEN SIDEWAYS","Full Grid (1-2-3-4)","100000000","1555","1510","1495","1480","0.1","0.2","0.3","0.4","64","132","200","270","666","99744000","256000","1497.66","1497.68","1415","1765","1975","1975","9","5.52","27.01","31.87","3","5.77"
"INAI","2026-05-26","2026-05-26","560","FULL","169","3.048780487804878","V-SHAPE","V-SHAPE","reversal","TRUE","","V-SHAPE","2026-05-26","","NEW","0","DOWNTREND","BEARISH","BEARISH","BEARISH","STRUCTURE + DISCOUNT","NORMAL DOWNTREND","48.5","TRUE","FALSE","FALSE","LAGGING","LAGGARD (V-Shape)","1.66","1.66","EXPANSION","28.57","71.43","36.03","21.09","19.05","23.84","178.38","184.95","176.93","1320900","794840","4450","Supertrend bearish | RSI 36.0 lemah | Volume valid 1.66x | Lolos anti-crash ADX | RISEN NORMAL DOWNTREND","Full Grid (1-2-3-4)","100000000","169","155","151","146","0.1","0.2","0.3","0.4","591","1290","1986","2739","6606","99960900","39100","151.32","151.32","137","218","266","266","18.93","9.46","57.4","75.79","3.03","8.01"
"MIRA","2026-05-26","2026-05-26","560","FULL","21","5","EARLY SWEEP","EARLY SWEEP","reversal","TRUE","","EARLY SWEEP","2026-05-26","","NEW","0","UPTREND","BEARISH","BEARISH","BEARISH","UPTREND DISCOUNT","SIDEWAYS","53.89","TRUE","FALSE","FALSE","LEADING","LEADING (Early)","0.26","0.26","DRY / QUIET","100","0","46.86","16.71","28.24","31.45","21.31","23.52","28.11","1188000","4599610","4100","Supertrend bullish | RSI 46.9 lemah | Volume 0.26x | Lolos anti-crash ADX | RISEN SIDEWAYS","Full Grid (1-2-3-4)","100000000","25","24","23","23","0.1","0.2","0.3","0.4","4000","8333","13043","17391","42767","99997400","2600","23.38","23.38","22","36","39","39","12","5.91","56","66.8","4.67","11.3"
"SIPD","2026-05-26","2026-05-26","560","FULL","860","7.5","EARLY SWEEP","EARLY SWEEP","reversal","TRUE","","EARLY SWEEP","2026-05-26","","NEW","0","DOWNTREND","BEARISH","BEARISH","BEARISH","STRUCTURE + DISCOUNT","NORMAL UPTREND","70.47","TRUE","TRUE","FALSE","LEADING","LEADING (Early)","1.23","1.23","EXPANSION","74.19","25.81","42.41","16.22","16.93","17.93","900.31","986.18","991.79","44400","36105","4100","Supertrend bearish | RSI 42.4 lemah | Volume valid 1.23x | Lolos anti-crash ADX | RISEN NORMAL UPTREND","Full Grid (1-2-3-4)","100000000","980","955","945","935","0.1","0.2","0.3","0.4","102","209","317","427","1055","99836500","163500","946.32","946.31","905","1095","1205","1205","7.65","4.37","22.96","27.34","3","6.26"
"CSAP","2026-05-26","2026-05-26","560","FULL","266","0","EARLY SWEEP","EARLY SWEEP","reversal","TRUE","","EARLY SWEEP","2026-05-26","","NEW","0","DOWNTREND","BEARISH","BEARISH","BEARISH","DOWNTREND DISCOUNT","NORMAL DOWNTREND","82.13","TRUE","FALSE","FALSE","WEAKENING","WEAKENING (Early)","0.01","0.01","DRY / QUIET","100","0","35.44","40.61","33.72","27.97","280.19","287.63","310.09","500","44810","4000","Supertrend bearish | RSI 35.4 lemah | Volume 0.01x | Lolos anti-crash ADX | RISEN NORMAL DOWNTREND","Full Grid (1-2-3-4)","100000000","332","316","310","306","0.1","0.2","0.3","0.4","301","632","967","1307","3207","99935600","64400","311.62","311.62","294","390","446","446","11.45","5.65","34.34","43.12","3","7.63"
"UDNG","2026-05-26","2026-05-26","560","FULL","1195","7.657657657657657","EARLY SWEEP","EARLY SWEEP","reversal","TRUE","","EARLY SWEEP","2026-05-26","","NEW","0","DOWNTREND","BULLISH","BEARISH","BEARISH","STRUCTURE + DISCOUNT","SIDEWAYS","49.36","TRUE","FALSE","FALSE","WEAKENING","WEAKENING (Early)","0.68","0.68","DRY / QUIET","75","25","49.67","20.03","27.48","22.89","1187.93","1420.37","1995.7","1482400","2188600","4000","Supertrend bearish | RSI 49.7 lemah | Volume 0.68x | Lolos anti-crash ADX | RISEN SIDEWAYS","Full Grid (1-2-3-4)","100000000","3560","3240","3160","3060","0.1","0.2","0.3","0.4","28","61","94","130","313","99216000","784000","3169.84","3169.83","2820","4670","5775","5775","20.79","11.04","62.22","82.19","2.99","7.45"
"GRIA","2026-05-26","2026-05-26","560","FULL","139","-10.897435897435898","HOLD","-","passive","FALSE","","SMART GAMMA","2026-05-25","","NEW","1","UPTREND","BULLISH","BULLISH","BULLISH","UPTREND PREMIUM","EXPLOSIVE BULL","0","TRUE","TRUE","TRUE","LEADING","LEADING (Passive)","3.77","3.77","VOLUME SURGE","31.58","68.42","65.96","44.37","42.83","7.54","115.88","110.44","108.73","57197000","15156875","1618","Supertrend bullish | RSI 66.0 > 50 | Volume valid 3.77x | Lolos anti-crash ADX | RISEN EXPLOSIVE BULL","Full Grid (1-2-3-4)","100000000","156","123","115","104","0.1","0.2","0.3","0.4","641","1626","2608","3846","8721","99989800","10200","114.65","114.65","88","258","360","360","43.59","23.25","130.77","213.99","3","9.2"
