"Ticker","Date","HistoryBars","HistoryQuality","Price","ChangePct","Signal","ActiveSignals","SniperLocation","LastActiveSignals","LastActiveDate","LastSniperLocation","Regime","Quadrant","RVol","AgeDays","Score","Strategy","PortfolioCapital","Buy1","Buy2","Buy3","Buy4","Weight1","Weight2","Weight3","Weight4","Lot1","Lot2","Lot3","Lot4","TotalLots","TotalDeployed","CashLeft","AvgEntry","TheoreticalAvgEntry","RiskBuy1Pct","RiskAvgPct","RewardRiskBuy1","RewardRiskAvg"
"BRPT","2026-05-12","552","FULL","2280","14.86146095717884","SMART SNIPER","SMART SNIPER","Structure + Discount","SMART SNIPER","2026-05-12","Structure + Discount","EXPLOSIVE BULL","LEADING","2.12","0","5270","Full Grid (1-2-3-4)","100000000","2280","2050","2000","1920","0.1","0.2","0.3","0.4","43","97","150","208","498","99625000","375000","2000.5","2000.98","21.93","11.02","3","8.07"
"KJEN","2026-05-12","552","FULL","155","24","SMART SNIPER","SMART SNIPER + V-SHAPE","Structure + Discount","SMART SNIPER + V-SHAPE","2026-05-12","Structure + Discount","EXPLOSIVE BULL","LEADING","5.93","0","5270","Full Grid (1-2-3-4)","100000000","155","130","123","115","0.1","0.2","0.3","0.4","645","1538","2439","3478","8100","99988200","11800","123.44","123.44","34.84","18.18","3.02","8.67"
"NZIA","2026-05-12","552","FULL","191","30.82191780821918","SMART SNIPER","SMART SNIPER + V-SHAPE","Demand Structure","SMART SNIPER + V-SHAPE","2026-05-12","Demand Structure","EXPLOSIVE BULL","LEADING","6.64","0","5270","Full Grid (1-2-3-4)","100000000","191","163","156","147","0.1","0.2","0.3","0.4","523","1226","1923","2721","6393","99970600","29400","156.38","156.38","31.41","16.23","3.02","8.5"
"YOII","2026-05-12","315","FULL","112","16.666666666666664","SMART SNIPER","SMART SNIPER","Demand Structure","SMART SNIPER","2026-05-12","Demand Structure","EXPLOSIVE BULL","LEADING","15.68","0","5270","Full Grid (1-2-3-4)","100000000","112","102","100","96","0.1","0.2","0.3","0.4","892","1960","3000","4166","10018","99976000","24000","99.8","99.8","18.75","8.81","3","8.55"
"BKDP","2026-05-12","552","FULL","103","9.574468085106384","SMART GAMMA","SMART GAMMA","","SMART GAMMA","2026-05-12","","EXPLOSIVE BULL","LEADING","3.03","0","5220","Full Grid (1-2-3-4)","100000000","103","73","65","55","0.1","0.2","0.3","0.4","970","2739","4615","7272","15596","99979200","20800","64.11","64.11","60.19","36.04","3.02","9.78"
"CITY","2026-05-12","552","FULL","210","12.903225806451612","V-SHAPE","V-SHAPE","","V-SHAPE","2026-05-12","","EXPLOSIVE BULL","LAGGING","3.67","0","4970","Full Grid (1-2-3-4)","100000000","210","194","190","184","0.1","0.2","0.3","0.4","476","1030","1578","2173","5257","99943200","56800","190.11","190.11","18.1","9.53","3","7.39"
"EMDE","2026-05-12","552","FULL","79","9.722222222222223","V-SHAPE","V-SHAPE","","V-SHAPE","2026-05-12","","CRASH / SELL-OFF","LAGGING","2.09","0","4870","Full Grid (1-2-3-4)","100000000","79","76","75","73","0.1","0.2","0.3","0.4","1265","2631","4000","5479","13375","99985800","14200","74.76","74.76","10.13","5.02","3","7.52"
"ITMA","2026-05-12","552","FULL","2180","2.3474178403755865","SMART GAMMA","SMART GAMMA","","SMART GAMMA","2026-05-12","","SIDEWAYS","LEADING","1.32","0","4700","Full Grid (1-2-3-4)","100000000","2180","1985","1935","1870","0.1","0.2","0.3","0.4","45","100","155","213","513","99483500","516500","1939.25","1939.6","19.5","9.5","3.01","8.25"
"INPP","2026-05-12","552","FULL","800","0.628930817610063","G ACC","G ACC","","G ACC","2026-05-12","","SIDEWAYS","LEADING","4.1","0","4670","Full Grid (1-2-3-4)","100000000","800","770","760","750","0.1","0.2","0.3","0.4","125","259","394","533","1311","99862000","138000","761.72","761.72","8.75","4.16","3","7.83"
"BATR","2026-05-12","459","FULL","100","9.89010989010989","V-SHAPE","V-SHAPE","","V-SHAPE","2026-05-12","","SIDEWAYS","LEADING","12.46","0","4570","Full Grid (1-2-3-4)","100000000","100","87","84","80","0.1","0.2","0.3","0.4","1000","2298","3571","5000","11869","99989000","11000","84.24","84.24","27","13.35","3","8.61"
"WTON","2026-05-12","552","FULL","89","1.1363636363636365","V-SHAPE","V-SHAPE","","V-SHAPE","2026-05-12","","SIDEWAYS","LEADING","2.84","0","4570","Full Grid (1-2-3-4)","100000000","89","86","85","84","0.1","0.2","0.3","0.4","1123","2325","3529","4761","11738","99978600","21400","85.18","85.18","7.87","3.73","3","7.82"
