"Ticker","Date","LatestAvailableDate","HistoryBars","HistoryQuality","Price","ChangePct","Signal","ActiveSignals","SignalGroup","ActiveSignal","SniperLocation","LastActiveSignals","LastActiveDate","LastSniperLocation","SignalAgeLabel","AgeDays","Trend","TrendShort","TrendMedium","TrendLong","Structure","Regime","RisenScore","RisenInsideRolling","RisenRecentUpBreak","RisenVolSurge","Quadrant","AlphaStatus","RVol","VolPower","VolRegime","XRayBuyPowerPct","XRaySellPowerPct","RSI","ADX","PlusDI","MinusDI","EMA21","EMA50","EMA200","Volume","VolumeSMA20","Score","LogicNotes","Strategy","PortfolioCapital","Buy1","Buy2","Buy3","Buy4","Weight1","Weight2","Weight3","Weight4","Lot1","Lot2","Lot3","Lot4","TotalLots","TotalDeployed","CashLeft","AvgEntry","TheoreticalAvgEntry","StopLoss","TP1","TP2","TP2Fib","RiskBuy1Pct","RiskAvgPct","UpsideBuy1Pct","UpsideAvgPct","RewardRiskBuy1","RewardRiskAvg"
"NFCX","2026-05-29","2026-05-29","561","FULL","1705","0.29411764705882354","AVOID","-","passive","FALSE","","BETA BREAKOUT","2025-07-21","","312d","312","DOWNTREND","BEARISH","BEARISH","BEARISH","DEMAND STRUCTURE","SIDEWAYS","70.65","TRUE","FALSE","FALSE","LAGGING","LAGGARD (Passive)","1","1","NORMAL","96.77","3.23","37.12","38.76","5.63","36.01","1741.8","1747.8","1719.13","38800","38675","376","Supertrend bearish | RSI 37.1 lemah | Volume 1x | Crash filter aktif | RISEN SIDEWAYS","Full Grid (1-2-3-4)","100000000","1950","1825","1795","1755","0.1","0.2","0.3","0.4","51","109","167","227","554","99652500","347500","1798.78","1798.81","1680","2360","2760","2760","13.85","6.6","41.54","53.44","3","8.09"
"KIAS","2026-05-29","2026-05-29","561","FULL","21","0","HOLD","-","passive","FALSE","","V-SHAPE","2025-07-02","","331d","331","UPTREND","NEUTRAL","NEUTRAL","BULLISH","UPTREND PREMIUM","SIDEWAYS","0","FALSE","FALSE","FALSE","LAGGING","LAGGARD (Passive)","0","0","NO VOLUME","50","50","56.2","14.65","22.46","16.72","21","21","20.77","0","0","338","Supertrend bullish | RSI 56.2 > 50 | Volume NaNx | Lolos anti-crash ADX | RISEN SIDEWAYS","Full Grid (1-2-3-4)","100000000","19","18","18","17","0.1","0.2","0.3","0.4","5263","11111","16666","23529","56569","99997600","2400","17.68","17.68","17","22","25","25","10.53","3.83","31.58","41.43","3","10.82"
"SWAT","2026-05-29","2026-05-29","561","FULL","16","0","AVOID","-","passive","FALSE","","EARLY SWEEP","2025-06-10","","353d","353","DOWNTREND","NEUTRAL","NEUTRAL","BEARISH","DOWNTREND PREMIUM","SIDEWAYS","0","FALSE","FALSE","FALSE","LAGGING","LAGGARD (Passive)","0","0","NO VOLUME","50","50","32.31","40.29","22.79","53.54","16","16","17","0","0","294","Supertrend bearish | RSI 32.3 lemah | Volume NaNx | Crash filter aktif | RISEN SIDEWAYS","Full Grid (1-2-3-4)","100000000","28","24","22","21","0.1","0.2","0.3","0.4","3571","8333","13636","19047","44587","99995900","4100","22.43","22.43","19","42","55","55","32.14","15.28","96.43","145.24","3","9.5"
"MTMH","2026-05-29","2026-05-29","561","FULL","945","-1.0471204188481675","HOLD","-","passive","FALSE","","EARLY SWEEP","2025-06-03","","360d","360","UPTREND","BEARISH","BEARISH","BEARISH","STRUCTURE + DISCOUNT","NORMAL DOWNTREND","52.5","TRUE","FALSE","FALSE","WEAKENING","WEAKENING (Passive)","1.01","1.01","NORMAL","0","100","44.69","28.66","30.52","13.01","989.03","1003.9","1053.18","26400","26190","280","Supertrend bullish | RSI 44.7 lemah | Volume 1.01x | Lolos anti-crash ADX | RISEN NORMAL DOWNTREND","Full Grid (1-2-3-4)","100000000","875","855","845","840","0.1","0.2","0.3","0.4","114","233","355","476","1178","99878000","122000","847.86","847.87","825","970","1005","1005","5.71","2.7","14.86","18.53","2.6","6.87"
"TGRA","2026-05-29","2026-05-29","561","FULL","27","0","AVOID","-","passive","FALSE","","V-SHAPE","2025-05-27","","367d","367","DOWNTREND","NEUTRAL","NEUTRAL","BEARISH","DOWNTREND PREMIUM","SIDEWAYS","0","FALSE","FALSE","FALSE","LAGGING","LAGGARD (Passive)","0","0","NO VOLUME","50","50","28.01","49.1","20.59","60.31","27","27","27.65","0","0","266","Supertrend bearish | RSI 28.0 lemah | Volume NaNx | Crash filter aktif | RISEN SIDEWAYS","Full Grid (1-2-3-4)","100000000","36","34","33","32","0.1","0.2","0.3","0.4","2777","5882","9090","12500","30249","99993000","7000","33.06","33.06","31","50","51","51","13.89","6.22","41.67","54.28","3","8.72"
"TGUK","2026-05-29","2026-05-29","561","FULL","137","0","HOLD","-","passive","FALSE","","G ACC","2025-05-23","","371d","371","UPTREND","NEUTRAL","NEUTRAL","BULLISH","UPTREND PREMIUM","NORMAL UPTREND","0","FALSE","TRUE","FALSE","LAGGING","LAGGARD (Passive)","0","0","NO VOLUME","50","50","81.24","67.69","41.46","7.99","137","137","130.12","0","0","258","Supertrend bullish | RSI 81.2 > 50 | Volume NaNx | Lolos anti-crash ADX | RISEN NORMAL UPTREND","Full Grid (1-2-3-4)","100000000","137","94","83","69","0.1","0.2","0.3","0.4","729","2127","3614","5797","12267","99976600","23400","81.5","81.51","48","270","404","404","64.96","41.1","194.89","395.7","3","9.63"
"PMMP","2026-05-29","2026-05-29","561","FULL","50","0","AVOID","-","passive","FALSE","","SMART SNIPER","2025-05-06","Structure + Discount","388d","388","DOWNTREND","NEUTRAL","NEUTRAL","BEARISH","DEMAND STRUCTURE","SIDEWAYS","0","FALSE","FALSE","FALSE","LAGGING","LAGGARD (Passive)","0","0","NO VOLUME","50","50","31.32","17.15","14.16","20.03","50","50","55.47","0","0","224","Supertrend bearish | RSI 31.3 lemah | Volume NaNx | Lolos anti-crash ADX | RISEN SIDEWAYS","Full Grid (1-2-3-4)","100000000","59","55","53","52","0.1","0.2","0.3","0.4","1694","3636","5660","7692","18682","99989000","11000","53.52","53.52","49","74","89","89","16.95","8.45","50.85","66.29","3","7.85"
"ALTO","2026-05-29","2026-05-29","561","FULL","18","0","AVOID","-","passive","FALSE","","EARLY SWEEP","2025-04-15","","409d","409","DOWNTREND","NEUTRAL","NEUTRAL","NEUTRAL","DOWNTREND PREMIUM","SIDEWAYS","0","FALSE","FALSE","FALSE","LAGGING","LAGGARD (Passive)","0","0","NO VOLUME","50","50","49.07","10.4","36.3","44.72","18","18","18.02","0","0","182","Supertrend bearish | RSI 49.1 lemah | Volume NaNx | Lolos anti-crash ADX | RISEN SIDEWAYS","Full Grid (1-2-3-4)","100000000","22","19","18","17","0.1","0.2","0.3","0.4","4545","10526","16666","23529","55266","99996500","3500","18.09","18.09","16","31","40","40","27.27","11.57","81.82","121.07","3","10.46"
"PTMR","2026-05-29","2026-05-29","385","FULL","374","0","HOLD","-","passive","FALSE","","SMART SNIPER","2025-04-15","Structure + Discount","409d","409","UPTREND","NEUTRAL","NEUTRAL","BULLISH","UPTREND PREMIUM","NORMAL UPTREND","0","FALSE","TRUE","FALSE","LAGGING","LAGGARD (Passive)","0","0","NO VOLUME","50","50","97.28","97.14","74.14","1.07","374","373.97","348.54","0","0","182","Supertrend bullish | RSI 97.3 > 50 | Volume NaNx | Lolos anti-crash ADX | RISEN NORMAL UPTREND","Full Grid (1-2-3-4)","100000000","132","127","125","123","0.1","0.2","0.3","0.4","757","1574","2400","3252","7983","99981800","18200","125.24","125.24","120","150","168","168","9.09","4.19","27.27","34.14","3","8.15"
"HITS","2026-05-29","2026-05-29","561","FULL","116","0","AVOID","-","passive","FALSE","","SMART SNIPER + V-SHAPE","2025-02-28","Demand Structure","455d","455","DOWNTREND","NEUTRAL","NEUTRAL","BEARISH","DOWNTREND PREMIUM","SIDEWAYS","0","FALSE","FALSE","FALSE","LAGGING","LAGGARD (Passive)","0","0","NO VOLUME","50","50","15.01","55.29","11.87","41.21","116","116","130.49","0","0","90","Supertrend bearish | RSI 15.0 lemah | Volume NaNx | Crash filter aktif | RISEN SIDEWAYS","Full Grid (1-2-3-4)","100000000","364","322","312","298","0.1","0.2","0.3","0.4","274","621","961","1342","3198","99944600","55400","312.52","312.53","276","496","630","630","24.18","11.69","73.08","101.59","3.02","8.69"
