"Ticker","Date","LatestAvailableDate","HistoryBars","HistoryQuality","Price","ChangePct","Signal","ActiveSignals","SignalGroup","ActiveSignal","SniperLocation","LastActiveSignals","LastActiveDate","LastSniperLocation","SignalAgeLabel","AgeDays","Trend","TrendShort","TrendMedium","TrendLong","Structure","Regime","RisenScore","RisenInsideRolling","RisenRecentUpBreak","RisenVolSurge","Quadrant","AlphaStatus","RVol","VolPower","VolRegime","XRayBuyPowerPct","XRaySellPowerPct","RSI","ADX","PlusDI","MinusDI","EMA21","EMA50","EMA200","Volume","VolumeSMA20","Score","LogicNotes","Strategy","PortfolioCapital","Buy1","Buy2","Buy3","Buy4","Weight1","Weight2","Weight3","Weight4","Lot1","Lot2","Lot3","Lot4","TotalLots","TotalDeployed","CashLeft","AvgEntry","TheoreticalAvgEntry","StopLoss","TP1","TP2","TP2Fib","RiskBuy1Pct","RiskAvgPct","UpsideBuy1Pct","UpsideAvgPct","RewardRiskBuy1","RewardRiskAvg"
"SOSS","2026-05-25","2026-05-25","559","FULL","815","1.2422360248447204","AVOID","-","passive","FALSE","","SMART SNIPER + V-SHAPE","2026-05-07","Structure + Discount","18d","18","DOWNTREND","BEARISH","BEARISH","NEUTRAL","STRUCTURE + DISCOUNT","SIDEWAYS","91.7","TRUE","FALSE","FALSE","LAGGING","LAGGARD (Passive)","0.04","0.04","DRY / QUIET","50","50","44.02","14.56","25.29","36.66","849.12","858.4","814.44","400","11265","964","Supertrend bearish | RSI 44.0 lemah | Volume 0.04x | Lolos anti-crash ADX | RISEN SIDEWAYS","Full Grid (1-2-3-4)","100000000","920","855","835","815","0.1","0.2","0.3","0.4","108","233","359","490","1190","99769000","231000","838.39","838.44","775","1140","1180","1180","15.76","7.56","28.26","40.75","1.79","5.39"
"ASHA","2026-05-25","2026-05-25","559","FULL","66","4.761904761904762","AVOID","-","passive","FALSE","","BETA BREAKOUT","2026-05-06","","19d","19","DOWNTREND","BEARISH","BEARISH","BULLISH","STRUCTURE + DISCOUNT","SIDEWAYS","34.37","TRUE","FALSE","FALSE","LAGGING","LAGGARD (Passive)","0.17","0.17","DRY / QUIET","66.67","33.33","41.39","19.21","22.3","22.37","72","73.81","63.89","21491400","129648570","962","Supertrend bearish | RSI 41.4 lemah | Volume 0.17x | Lolos anti-crash ADX | RISEN SIDEWAYS","Full Grid (1-2-3-4)","100000000","88","75","71","67","0.1","0.2","0.3","0.4","1136","2666","4225","5970","13997","99988300","11700","71.44","71.44","60","130","172","172","31.82","16.01","95.45","140.78","3","8.79"
"CMRY","2026-05-25","2026-05-25","559","FULL","4480","-0.8849557522123894","AVOID","-","passive","FALSE","","SMART SNIPER","2026-05-06","Discount Only","19d","19","DOWNTREND","BEARISH","BEARISH","BEARISH","STRUCTURE + DISCOUNT","SIDEWAYS","46.3","TRUE","FALSE","FALSE","WEAKENING","WEAKENING (Passive)","0.5","0.5","DRY / QUIET","41.18","58.82","43.5","16.26","14.05","25.18","4609.82","4687.31","4954.81","1873200","3727165","962","Supertrend bearish | RSI 43.5 lemah | Volume 0.5x | Lolos anti-crash ADX | RISEN SIDEWAYS","Full Grid (1-2-3-4)","100000000","4870","4540","4460","4340","0.1","0.2","0.3","0.4","20","44","67","92","223","99526000","474000","4463.05","4463.94","4160","5925","7000","7000","14.58","6.79","43.74","56.84","3","8.37"
"DEFI","2026-05-25","2026-05-25","559","FULL","151","6.338028169014084","AVOID","-","passive","FALSE","","V-SHAPE","2026-05-06","","19d","19","DOWNTREND","BEARISH","BEARISH","BEARISH","STRUCTURE + DISCOUNT","NORMAL DOWNTREND","38.99","TRUE","FALSE","FALSE","LAGGING","LAGGARD (Passive)","0.27","0.27","DRY / QUIET","38.1","61.9","48.29","25.25","26.74","22.33","160.47","153.44","372.66","55544200","204739625","962","Supertrend bearish | RSI 48.3 lemah | Volume 0.27x | Lolos anti-crash ADX | RISEN NORMAL DOWNTREND","Full Grid (1-2-3-4)","100000000","200","171","164","154","0.1","0.2","0.3","0.4","500","1169","1829","2597","6095","99979300","20700","164.03","164.03","136","296","500","500","32","17.09","150","204.81","4.69","11.98"
"DIGI","2026-05-25","2026-05-25","559","FULL","33","10","AVOID","-","passive","FALSE","","G ACC","2026-05-06","","19d","19","DOWNTREND","BEARISH","BEARISH","NEUTRAL","DOWNTREND DISCOUNT","SIDEWAYS","25","TRUE","FALSE","FALSE","LAGGING","LAGGARD (Passive)","0.13","0.13","DRY / QUIET","50","50","44.87","17.54","26.51","38.65","35.5","35.32","33.06","485000","3624945","962","Supertrend bearish | RSI 44.9 lemah | Volume 0.13x | Lolos anti-crash ADX | RISEN SIDEWAYS","Full Grid (1-2-3-4)","100000000","45","37","34","32","0.1","0.2","0.3","0.4","2222","5405","8823","12500","28950","99995700","4300","34.54","34.54","27","72","99","99","40","21.83","120","186.62","3","8.55"
"HALO","2026-05-25","2026-05-25","559","FULL","73","1.3888888888888888","AVOID","-","passive","FALSE","","SMART SNIPER","2026-05-06","Discount Only","19d","19","DOWNTREND","BEARISH","BEARISH","BEARISH","STRUCTURE + DISCOUNT","SIDEWAYS","34.06","TRUE","FALSE","FALSE","WEAKENING","WEAKENING (Passive)","0.15","0.15","DRY / QUIET","37.5","62.5","45.99","30.09","23.02","16.96","77.3","77.61","82.66","17996400","123357535","962","Supertrend bearish | RSI 46.0 lemah | Volume 0.15x | Lolos anti-crash ADX | RISEN SIDEWAYS","Full Grid (1-2-3-4)","100000000","91","78","74","70","0.1","0.2","0.3","0.4","1098","2564","4054","5714","13430","99988600","11400","74.45","74.45","63","133","175","175","30.77","15.38","92.31","135.05","3","8.78"
"HRME","2026-05-25","2026-05-25","559","FULL","42","7.6923076923076925","AVOID","-","passive","FALSE","","SMART GAMMA","2026-05-06","","19d","19","DOWNTREND","BEARISH","BEARISH","BEARISH","DOWNTREND DISCOUNT","NORMAL DOWNTREND","25","TRUE","FALSE","FALSE","LAGGING","LAGGARD (Passive)","0.31","0.31","DRY / QUIET","50","50","39.29","21.31","29.67","44.79","48.74","48.55","44.49","1605500","5215545","962","Supertrend bearish | RSI 39.3 lemah | Volume 0.31x | Lolos anti-crash ADX | RISEN NORMAL DOWNTREND","Full Grid (1-2-3-4)","100000000","60","51","48","45","0.1","0.2","0.3","0.4","1666","3921","6250","8888","20725","99989100","10900","48.25","48.25","41","89","117","117","31.67","15.02","95","142.51","3","9.49"
"IKAN","2026-05-25","2026-05-25","559","FULL","79","-1.25","AVOID","-","passive","FALSE","","SMART GAMMA","2026-05-06","","19d","19","DOWNTREND","BEARISH","BEARISH","BEARISH","STRUCTURE + DISCOUNT","NORMAL DOWNTREND","33.2","TRUE","FALSE","FALSE","LAGGING","LAGGARD (Passive)","0.4","0.4","DRY / QUIET","0","100","31.33","15.79","22.86","22.6","91.82","96.54","102.04","4590700","11345260","962","Supertrend bearish | RSI 31.3 lemah | Volume 0.4x | Lolos anti-crash ADX | RISEN NORMAL DOWNTREND","Full Grid (1-2-3-4)","100000000","106","92","89","84","0.1","0.2","0.3","0.4","943","2173","3370","4761","11247","99972800","27200","88.89","88.89","77","150","193","193","27.36","13.37","82.08","117.13","3","8.76"
"JIHD","2026-05-25","2026-05-25","559","FULL","460","3.6036036036036037","AVOID","-","passive","FALSE","","EARLY SWEEP","2026-03-17","","69d","69","DOWNTREND","BEARISH","BEARISH","BEARISH","STRUCTURE + DISCOUNT","NORMAL DOWNTREND","67.71","TRUE","FALSE","FALSE","LEADING","LEADING (Passive)","0.23","0.23","DRY / QUIET","100","0","37.03","28.23","10.68","27.53","484.02","513.28","591.02","88400","386275","962","Supertrend bearish | RSI 37.0 lemah | Volume 0.23x | Lolos anti-crash ADX | RISEN NORMAL DOWNTREND","Full Grid (1-2-3-4)","100000000","675","570","540","505","0.1","0.2","0.3","0.4","148","350","555","792","1845","99906000","94000","541.5","541.52","452","1010","1345","1345","33.04","16.53","99.26","148.39","3","8.98"
"KKES","2026-05-25","2026-05-25","559","FULL","40","8.108108108108109","AVOID","-","passive","FALSE","","BETA BREAKOUT","2026-05-06","","19d","19","DOWNTREND","BEARISH","BULLISH","BULLISH","DOWNTREND PREMIUM","NORMAL UPTREND","25","TRUE","TRUE","FALSE","WEAKENING","WEAKENING (Passive)","0.07","0.07","DRY / QUIET","50","50","49.98","27.11","34.52","37.12","40.79","37.99","33.93","674300","9193880","962","Supertrend bearish | RSI 50.0 lemah | Volume 0.07x | Lolos anti-crash ADX | RISEN NORMAL UPTREND","Full Grid (1-2-3-4)","100000000","41","36","35","33","0.1","0.2","0.3","0.4","2439","5555","8571","12121","28686","99995700","4300","34.86","34.86","31","56","71","71","24.39","11.07","73.17","103.68","3","9.37"
